TICKER,ACTUAL,ANNDATS_ACT,ANNTIMS_ACT,FPEDATS1
NFLX,0.24,20080123,16:05:00,31DEC2007
AAPL,1.16,20080423,16:30:00,31MAR2008
GOOG,4.84,20080417,16:01:00,31MAR2008
INTC,0.25,20080415,16:15:00,31MAR2008
MSFT,0.47,20080424,16:10:00,31MAR2008
NFLX,0.21,20080421,16:05:00,31MAR2008
AAPL,1.19,20080721,16:30:00,30JUN2008
GOOG,4.63,20080717,16:01:00,30JUN2008
INTC,0.28,20080715,16:15:00,30JUN2008
MSFT,0.46,20080717,16:15:00,30JUN2008
NFLX,0.42,20080725,7:00:00,30JUN2008
AAPL,1.26,20081021,16:40:00,30SEP2008
GOOG,4.92,20081016,16:01:00,30SEP2008
INTC,0.35,20081014,16:15:00,30SEP2008
MSFT,0.48,20081023,16:10:00,30SEP2008
NFLX,0.33,20081020,16:05:00,30SEP2008
AAPL,1.78,20090121,16:30:00,31DEC2008
GOOG,5.1,20090122,16:01:00,31DEC2008
INTC,0.04,20090115,16:15:00,31DEC2008
MSFT,0.47,20090122,9:00:00,31DEC2008
NFLX,0.38,20090126,16:05:00,31DEC2008
AAPL,1.33,20090422,16:30:00,31MAR2009
GOOG,5.16,20090416,11:35:00,31MAR2009
INTC,0.11,20090414,8:45:00,31MAR2009
MSFT,0.39,20090423,16:10:00,31MAR2009
NFLX,0.37,20090423,16:05:00,31MAR2009
AAPL,1.35,20090721,16:30:00,30JUN2009
GOOG,5.36,20090716,16:01:00,30JUN2009
INTC,-0.07,20090714,5:42:00,30JUN2009
MSFT,0.36,20090723,16:10:00,30JUN2009
NFLX,0.54,20090723,16:05:00,30JUN2009
AAPL,1.82,20091019,16:30:00,30SEP2009
GOOG,5.89,20091015,16:01:00,30SEP2009
INTC,0.33,20091013,16:15:00,30SEP2009
MSFT,0.4,20091023,8:30:00,30SEP2009
NFLX,0.52,20091022,15:16:00,30SEP2009
AAPL,3.67,20100125,16:25:00,31DEC2009
GOOG,6.79,20100121,16:01:00,31DEC2009
INTC,0.4,20100114,16:15:00,31DEC2009
MSFT,0.74,20100128,16:05:00,31DEC2009
NFLX,0.56,20100127,16:05:00,31DEC2009
AAPL,3.33,20100420,16:31:00,31MAR2010
GOOG,6.76,20100415,16:01:00,31MAR2010
INTC,0.43,20100413,16:15:00,31MAR2010
MSFT,0.45,20100422,16:10:00,31MAR2010
NFLX,0.59,20100421,16:05:00,31MAR2010
AAPL,3.51,20100720,16:30:00,30JUN2010
GOOG,6.45,20100715,16:01:00,30JUN2010
INTC,0.51,20100713,16:15:00,30JUN2010
MSFT,0.51,20100722,16:15:00,30JUN2010
NFLX,0.8,20100721,16:05:00,30JUN2010
AAPL,4.64,20101018,16:30:00,30SEP2010
